
=== combined dataframe of bps_pred===
        feature  RF_score  SKB_score     PCA_score  XGB_score  FS_BIC_score  RF_score_rank  SKB_score_rank  PCA_score_rank  XGB_score_rank  FS_BIC_score_rank  Weighted_Avg_Rank
5   #Halogen/#H  1.079796e-03   0.014297  3.614234e+00   0.001597           1.0           36.0            36.0            39.0            35.0                1.0               40.7
6          #R=R  4.324478e-01   0.350829  5.165428e+00   0.223318           1.0            1.0             4.0             2.0             1.0                1.0                6.2
7          #R#R  1.124633e-01   0.083791  5.026323e+00   0.094483           1.0            3.0            16.0             8.0             5.0                1.0               12.8
8        #Donor  5.736622e-03   0.070342  5.039261e+00   0.004772           0.0           13.0            19.0             7.0            19.0                2.0               22.2
9       #Accept  4.132568e-03   0.166775  5.131308e+00   0.004610           1.0           18.0             8.0             3.0            21.0                1.0               15.1
10        #Ring  2.676550e-03   0.091392  4.123360e+00   0.002742           1.0           23.0            15.0            31.0            25.0                1.0               27.4
11        #AlCR  1.359266e-03   0.079222  4.404030e+00   0.001779           0.0           33.0            17.0            18.0            31.0                2.0               31.3
12        #AlHR  2.026831e-03   0.046302  4.115959e+00   0.001465           0.0           29.0            29.0            32.0            40.0                2.0               40.1
13         #AlR  1.597083e-03   0.121125  3.322315e+00   0.005483           1.0           30.0            13.0            45.0            18.0                1.0               31.0
14        #ArCR  1.177948e-03   0.000000  3.232982e+00   0.031557           1.0           35.0            52.0            47.0             6.0                1.0               41.9
15        #ArHR  9.248514e-04   0.055378  3.501115e+00   0.002936           0.0           38.0            26.0            42.0            24.0                2.0               40.8
16         #ArR  1.262133e-02   0.057949  3.463259e+00   0.139164           1.0            9.0            25.0            43.0             3.0                1.0               26.8
17         #SCR  7.290300e-04   0.124181  4.537024e+00   0.001844           1.0           42.0            12.0            15.0            30.0                1.0               26.5
18         #SHR  2.105539e-03   0.075023  4.159802e+00   0.002396           0.0           28.0            18.0            28.0            28.0                2.0               33.0
19          #SR  2.524900e-03   0.197190  3.075496e+00   0.002567           1.0           25.0             6.0            49.0            27.0                1.0               30.9
20        #Bran  4.981300e-03   0.053748  4.456190e+00   0.001552           1.0           15.0            27.0            17.0            38.0                1.0               27.8
21          #OH  1.318162e-03   0.061569  4.827623e+00   0.001589           1.0           34.0            24.0             9.0            36.0                1.0               27.9
22        #AlOH  1.441463e-03   0.067110  5.114069e+00   0.001698           1.0           31.0            21.0             4.0            32.0                1.0               24.1
23        #ArOH  8.038003e-04   0.007456  4.391003e+00   0.001469           1.0           39.0            41.0            20.0            39.0                1.0               37.9
24         #COO  1.024234e-04   0.006988  3.300948e+00   0.001644           1.0           48.0            42.0            46.0            33.0                1.0               46.6
25       #AlCOO  3.723497e-03   0.006238  3.543917e+00   0.019497           1.0           20.0            44.0            40.0             9.0                1.0               35.0
26       #ArCOO  1.432579e-05   0.000000  1.626958e+00   0.000572           0.0           50.0            52.0            52.0            50.0                2.0               59.2
27         #C=O  7.225223e-02   0.260470  4.045912e+00   0.097076           1.0            4.0             5.0            33.0             4.0                1.0               17.0
28     #C=O\COO  0.000000e+00   0.001384  4.454747e-14   0.000000           0.0           53.0            49.0            53.0            53.0                2.0               59.8
29       #Ether  2.221368e-03   0.035805  5.228207e+00   0.003069           1.0           27.0            30.0             1.0            23.0                1.0               23.3
30       #Ester  4.748643e-03   0.017599  4.399595e+00   0.007964           1.0           16.0            32.0            19.0            14.0                1.0               25.3
31     #Benzene  1.001768e-04   0.002748  3.178346e+00   0.003977           1.0           49.0            48.0            48.0            22.0                1.0               47.0
32        #Ar-N  1.716753e-01   0.069038  5.049491e+00   0.198625           1.0            2.0            20.0             6.0             2.0                1.0               12.6
33         #ArN  7.658394e-04   0.013106  4.135953e+00   0.002610           0.0           40.0            37.0            30.0            26.0                2.0               41.3
34        #ArNH  3.574549e-04   0.010850  4.199367e+00   0.001092           1.0           45.0            40.0            27.0            44.0                1.0               41.9
35       #Imine  4.509358e-03   0.061592  4.295703e+00   0.005637           1.0           17.0            23.0            23.0            17.0                1.0               24.6
36         #NH2  9.651033e-04   0.012530  4.136901e+00   0.001584           1.0           37.0            39.0            29.0            37.0                1.0               39.2
37         #NH1  6.068931e-04   0.006678  4.494466e+00   0.001319           1.0           43.0            43.0            16.0            41.0                1.0               38.5
38         #NH0  3.224908e-04   0.017348  5.096208e+00   0.000867           0.0           46.0            33.0             5.0            46.0                2.0               37.8
39          #SH  0.000000e+00   0.000000  5.608843e-15   0.000000           0.0           53.0            52.0            54.0            53.0                2.0               61.0
40    #Aldehyde  5.056747e-03   0.131884  4.204712e+00   0.015169           1.0           14.0            11.0            26.0            11.0                1.0               20.1
41       #Amide  6.243057e-03   0.016196  3.979341e+00   0.008493           1.0           12.0            35.0            34.0            13.0                1.0               29.7
42     #Aniline  0.000000e+00   0.000000  3.629656e-15   0.000000           0.0           53.0            52.0            55.0            53.0                2.0               61.3
43      #Phenol  6.401804e-07   0.000000  2.874936e+00   0.000065           0.0           52.0            52.0            50.0            52.0                2.0               59.4
44     #Epoxide  7.373445e-04   0.005833  3.813201e+00   0.000860           1.0           41.0            46.0            37.0            47.0                1.0               46.5
45       #Furan  1.385401e-03   0.003838  3.895696e+00   0.007352           0.0           32.0            47.0            36.0            15.0                2.0               42.3
46  #Piperidine  5.105315e-04   0.016390  3.685747e+00   0.000592           1.0           44.0            34.0            38.0            49.0                1.0               44.2
47    #Pyridine  2.634369e-03   0.006038  3.525169e+00   0.022515           1.0           24.0            45.0            41.0             7.0                1.0               36.0
48     #Lactone  1.241173e-05   0.000751  2.582709e+00   0.000435           1.0           51.0            51.0            51.0            51.0                1.0               55.0
49      #Ketone  6.834916e-03   0.116530  4.588055e+00   0.016808           1.0           11.0            14.0            12.0            10.0                1.0               16.0
50     #Nitrile  1.275907e-02   0.053591  4.668355e+00   0.022504           1.0            8.0            28.0            10.0             8.0                1.0               18.6
51     #Sulfone  0.000000e+00   0.000957  2.956424e-29   0.000000           0.0           53.0            50.0            56.0            53.0                2.0               61.0
52       Radius  2.850862e-03   0.025205  4.206627e+00   0.001297           0.0           22.0            31.0            25.0            42.0                2.0               37.6
53         apol  3.389688e-02   0.452694  4.279390e+00   0.013981           1.0            5.0             3.0            24.0            12.0                1.0               15.5
54         Vabc  1.109023e-02   0.704477  3.940203e+00   0.001631           1.0           10.0             1.0            35.0            34.0                1.0               23.6
55        SLogP  1.954305e-02   0.514110  4.571777e+00   0.001223           1.0            7.0             2.0            14.0            43.0                1.0               18.8
=== end of combined dataframe ===

=== combined dataframe of c_v===
        feature      RF_score  SKB_score     PCA_score  XGB_score  FS_BIC_score  RF_score_rank  SKB_score_rank  PCA_score_rank  XGB_score_rank  FS_BIC_score_rank  Weighted_Avg_Rank
0            mu  2.896565e-02   0.028051  4.317421e+00   0.000898           1.0            2.0            19.0            22.0            50.0                1.0               26.7
1            #C  6.749783e-03   0.114864  4.333606e+00   0.013233           1.0           10.0             6.0            21.0            18.0                1.0               17.7
2            #O  8.321999e-04   0.006043  4.580727e+00   0.001985           1.0           30.0            30.0            13.0            40.0                1.0               30.9
3         #O/#C  4.115902e-03   0.095890  4.611138e+00   0.013531           1.0           15.0             7.0            11.0            17.0                1.0               15.8
4      #Halogen  4.306423e-04   0.010952  3.445523e+00   0.032409           1.0           36.0            25.0            44.0             5.0                1.0               32.9
5   #Halogen/#H  3.848234e-04   0.020181  3.614234e+00   0.001751           0.0           37.0            22.0            39.0            44.0                2.0               42.5
6          #R=R  1.039567e-02   0.025871  5.165428e+00   0.034096           1.0            9.0            20.0             2.0             4.0                1.0               13.2
7          #R#R  1.529555e-03   0.008365  5.026323e+00   0.020726           1.0           25.0            28.0             8.0             9.0                1.0               21.6
8        #Donor  2.715437e-02   0.010639  5.039261e+00   0.063517           1.0            4.0            26.0             7.0             2.0                1.0               15.1
9       #Accept  4.641006e-03   0.049074  5.131308e+00   0.009642           1.0           13.0            14.0             3.0            22.0                1.0               16.1
10        #Ring  2.302332e-03   0.130215  4.123360e+00   0.011222           1.0           18.0             4.0            31.0            19.0                1.0               21.9
11        #AlCR  1.575977e-03   0.017390  4.404030e+00   0.002676           1.0           24.0            23.0            18.0            38.0                1.0               28.7
12        #AlHR  3.363654e-03   0.081629  4.115959e+00   0.007463           0.0           16.0             8.0            32.0            26.0                2.0               28.4
13         #AlR  2.488889e-03   0.119363  3.322315e+00   0.019947           1.0           17.0             5.0            45.0            10.0                1.0               24.4
14        #ArCR  2.817657e-05   0.001301  3.232982e+00   0.010402           1.0           48.0            44.0            47.0            21.0                1.0               45.1
15        #ArHR  2.125948e-03   0.053563  3.501115e+00   0.029071           1.0           19.0            13.0            42.0             6.0                1.0               25.5
16         #ArR  7.728494e-04   0.054397  3.463259e+00   0.009412           0.0           33.0            12.0            43.0            24.0                2.0               35.9
17         #SCR  1.863036e-03   0.013529  4.537024e+00   0.004151           0.0           21.0            24.0            15.0            31.0                2.0               30.1
18         #SHR  1.620955e-03   0.038477  4.159802e+00   0.002050           0.0           23.0            16.0            28.0            39.0                2.0               33.6
19          #SR  5.574031e-03   0.059865  3.075496e+00   0.015075           1.0           11.0            10.0            49.0            15.0                1.0               26.9
20        #Bran  1.307221e-02   0.067899  4.456190e+00   0.009311           1.0            6.0             9.0            17.0            25.0                1.0               18.0
21          #OH  1.183509e-02   0.035383  4.827623e+00   0.041090           0.0            8.0            18.0             9.0             3.0                2.0               18.3
22        #AlOH  1.230287e-02   0.044284  5.114069e+00   0.026247           1.0            7.0            15.0             4.0             7.0                1.0               12.5
23        #ArOH  1.497162e-04   0.003939  4.391003e+00   0.003319           1.0           42.0            34.0            20.0            34.0                1.0               35.4
24         #COO  1.683637e-04   0.000570  3.300948e+00   0.006580           1.0           41.0            52.0            46.0            29.0                1.0               47.4
25       #AlCOO  1.448521e-04   0.000556  3.543917e+00   0.006882           1.0           43.0            53.0            40.0            28.0                1.0               46.1
26       #ArCOO  7.052605e-07   0.000290  1.626958e+00   0.000227           0.0           52.0            56.0            52.0            51.0                2.0               61.0
27         #C=O  1.024313e-03   0.007374  4.045912e+00   0.006949           0.0           28.0            29.0            33.0            27.0                2.0               37.6
28     #C=O\COO  0.000000e+00   0.000295  4.454747e-14   0.000000           0.0           53.0            55.0            53.0            53.0                2.0               61.6
29       #Ether  1.491652e-03   0.009710  5.228207e+00   0.004065           1.0           26.0            27.0             1.0            32.0                1.0               24.0
30       #Ester  1.105008e-04   0.003082  4.399595e+00   0.001451           0.0           47.0            37.0            19.0            47.0                2.0               43.6
31     #Benzene  1.519049e-05   0.001221  3.178346e+00   0.016909           0.0           49.0            45.0            48.0            11.0                2.0               47.9
32        #Ar-N  7.816513e-04   0.057440  5.049491e+00   0.001803           1.0           32.0            11.0             6.0            43.0                1.0               24.1
33         #ArN  8.275800e-04   0.004523  4.135953e+00   0.010766           1.0           31.0            32.0            30.0            20.0                1.0               32.8
34        #ArNH  2.053370e-04   0.003119  4.199367e+00   0.001632           1.0           40.0            35.0            27.0            46.0                1.0               39.8
35       #Imine  1.298167e-03   0.004432  4.295703e+00   0.004942           1.0           27.0            33.0            23.0            30.0                1.0               32.2
36         #NH2  1.717891e-03   0.002297  4.136901e+00   0.016796           1.0           22.0            40.0            29.0            12.0                1.0               31.5
37         #NH1  6.598996e-04   0.004533  4.494466e+00   0.003274           1.0           34.0            31.0            16.0            35.0                1.0               31.9
38         #NH0  5.510364e-04   0.001988  5.096208e+00   0.009606           1.0           35.0            43.0             5.0            23.0                1.0               30.0
39          #SH  0.000000e+00   0.000538  5.608843e-15   0.000000           0.0           53.0            54.0            54.0            53.0                2.0               61.6
40    #Aldehyde  3.719045e-04   0.002223  4.204712e+00   0.001202           1.0           38.0            41.0            26.0            48.0                1.0               41.3
41       #Amide  1.377342e-04   0.001014  3.979341e+00   0.001742           1.0           45.0            48.0            34.0            45.0                1.0               46.6
42     #Aniline  0.000000e+00   0.000905  3.629656e-15   0.000000           0.0           53.0            49.0            55.0            53.0                2.0               60.4
43      #Phenol  4.650047e-06   0.001146  2.874936e+00   0.003152           0.0           50.0            47.0            50.0            36.0                2.0               54.3
44     #Epoxide  4.355041e-03   0.001204  3.813201e+00   0.014137           1.0           14.0            46.0            37.0            16.0                1.0               34.9
45       #Furan  1.421692e-04   0.003104  3.895696e+00   0.001812           0.0           44.0            36.0            36.0            42.0                2.0               46.8
46  #Piperidine  2.031565e-03   0.021436  3.685747e+00   0.003980           1.0           20.0            21.0            38.0            33.0                1.0               32.3
47    #Pyridine  1.302354e-04   0.002531  3.525169e+00   0.016698           1.0           46.0            39.0            41.0            13.0                1.0               39.8
48     #Lactone  3.862570e-06   0.000639  2.582709e+00   0.000100           0.0           51.0            51.0            51.0            52.0                2.0               59.2
49      #Ketone  3.196270e-04   0.002040  4.588055e+00   0.001092           1.0           39.0            42.0            12.0            49.0                1.0               37.8
50     #Nitrile  9.130589e-04   0.002922  4.668355e+00   0.015725           1.0           29.0            38.0            10.0            14.0                1.0               27.0
51     #Sulfone  0.000000e+00   0.000669  2.956424e-29   0.000000           0.0           53.0            50.0            56.0            53.0                2.0               61.0
52       Radius  4.729224e-03   0.037861  4.206627e+00   0.003097           1.0           12.0            17.0            25.0            37.0                1.0               26.4
53         apol  2.769610e-02   0.679676  4.279390e+00   0.022125           1.0            3.0             2.0            24.0             8.0                1.0               14.0
54         Vabc  7.922680e-01   1.046384  3.940203e+00   0.438137           1.0            1.0             1.0            35.0             1.0                1.0               15.2
55        SLogP  1.362433e-02   0.364216  4.571777e+00   0.001895           1.0            5.0             3.0            14.0            41.0                1.0               18.3
=== end of combined dataframe ===
